Key,UseI,Sample,Name,year,S1,S2,S3
EK39-1,S221,EK39,Sally,2014,A063,B042,C050
EK147-4,S220,EK147,Naomi,2015,A062,B043,C050
EK38-2,S219,EK38,Fiona,2014,A062,B043,C050
EK118-3,S064,EK118,Syrup,2015,A064,B044,C049
EK59-10,S064,EK59,Abigail,2015,A064,B044,C049
EK28-3,S202,EK28,Maude,2014,A118,B150,C076
EK95-10,S229,EK95,Daring,2015,A065,B113,C051
EK95-7,S229,EK95,Daring,2015,A065,B113,C051
EK147-1,S065,EK147,Naomi,2015,A066,B052,C052
EK147-2,S065,EK147,Naomi,2015,A066,B052,C052
EK147-5,S065,EK147,Naomi,2015,A066,B052,C052
EK07-7,S226,EK07,Amanda,2014,A119,B053,C052
EK55-2,S227,EK55,Star,2015,A120,B054,C077
EK59-8,S228,EK59,Abigail,2015,A121,B134,C078
EK136-4,S224,EK136,Ross,2015,A122,B151,C079
